ID,min_year,max_year
6329,1976,1990
6332,1993,1995
6345,1978,1984
6383,1999,2004
6386,1999,2004
6472,1997,2000
6549,2003,2007
6550,2003,2007
7693,1970,1976
7707,1984,1993
7744,1989,2004
7745,1991,2000
7746,1991,2000
7747,1968,2004
7776,2000,2006
7777,2000,2006
7778,2000,2006
7806,1985,1995
7807,1985,1995
7808,1975,1995
7809,1985,1995
7810,1985,1995
7812,2000,2006
7855,1992,2001
7860,1992,2001
7861,1992,2001
7862,1992,2001
7863,1992,2001
7864,1992,2001
7867,1992,2001
7878,1992,2001
7879,1992,2001
7880,1992,2001
7881,1992,2001
7882,1992,2001
7883,1992,2001
7884,1992,2001
7885,1992,2001
7886,1992,2001
7887,1992,2001
7888,1992,2001
7890,1992,2001
7891,1992,2001
7892,1992,2001
7893,1992,2001
7894,1992,2001
7895,1992,2001
7896,1992,2001
7897,1992,2001
7898,1992,2001
7899,1992,2001
7900,1992,2001
7901,1992,2001
7903,1992,2001
7908,1992,2001
7910,1992,2001
7911,1992,2001
7912,1992,2001
7919,2000,2001
7920,2000,2001
7921,2000,2001
7922,2000,2001
7923,2000,2001
7924,2000,2001
7925,2000,2001
7926,2000,2001
7927,2000,2001
7928,2000,2001
7929,2000,2001
7930,2000,2001
7935,2000,2001
7936,2000,2001
7937,2000,2001
7938,2000,2001
7939,2000,2001
7940,2000,2001
7941,2000,2001
7942,2000,2001
7943,2000,2001
7944,2000,2001
7945,2000,2001
7946,2000,2001
7947,2000,2001
7951,2000,2001
7952,2000,2001
7953,2000,2001
7954,2000,2001
7955,2000,2001
7956,2000,2001
7957,2000,2001
7958,2000,2001
7959,2000,2001
7960,2000,2001
7961,2000,2001
7962,2000,2001
7982,1996,1998
8183,1986,2002
8405,1979,2008
8431,1975,2001
8471,2000,2007
8615,1957,2002
8680,1998,2001
8747,1996,1998
8749,1984,1997
8757,1998,1999
8820,1996,1999
8840,1988,1995
8887,1994,1997
8888,1994,1997
8889,1994,1997
8947,1972,1997
9251,1995,2007
9252,1995,2007
9253,1995,2007
9262,1994,2000
9270,1994,2000
9277,1994,2000
9283,1994,2000
9374,1993,2002
9381,1993,2002
9394,1996,2005
9409,1972,1976
9416,2001,2002
9417,2001,2002
9418,2001,2002
9420,2001,2002
9423,2001,2002
9425,2001,2002
9426,2001,2002
9427,2001,2002
9429,2001,2002
9432,2001,2002
9435,2001,2002
9436,2001,2002
9437,2001,2002
9439,2001,2002
9442,2001,2002
9445,2001,2002
9446,2001,2002
9447,2001,2002
9449,2001,2002
9452,2001,2002
9455,2001,2002
9456,2001,2002
9457,2001,2002
9459,2001,2002
9462,2001,2002
9537,2005,2008
9558,2001,2002
9559,2001,2002
9562,2001,2002
9575,1985,1993
9587,1974,1997
9588,1974,1997
9591,1974,1997
9596,1978,1984
9597,1967,1987
9598,1983,2004
9603,1988,1989
9605,1996,1999
9607,1996,1999
9609,1996,1999
9623,1998,1999
9624,1998,1999
9638,1953,2005
9699,1976,1995
9707,1976,1995
10086,1997,2006
10497,2004,2007
10498,2004,2007
10511,2004,2007
11070,1974,1980
11080,2005,2008
11081,2005,2008
11091,1982,2005
11195,1977,2009
11196,1974,2006
11211,2003,2006
11274,1986,2003
11374,1971,2000
11497,1979,2000
11877,1995,2010
11878,1989,2010
11885,1999,2011
11886,1950,2009
11890,1989,2012
11891,2004,2008
11892,2003,2008
11972,1976,2012
11986,1995,2008
11993,1996,2000
12012,1997,2007
12013,1999,2010
12375,1998,2000
12381,2003,2004
12383,2003,2004
12384,2003,2004
12386,2003,2004
12403,1997,1999
12405,1997,1999
12409,1997,1999
12410,1997,1999
12411,1997,1999
12412,1997,1999
12414,1998,1999
12796,1992,2002
12864,2006,2012
12865,2006,2012
12867,2006,2012
12880,2001,2015
12883,2001,2015
12884,2001,2015
12885,2001,2015
12886,2001,2015
12887,2001,2013
12934,1972,2002
13222,1990,2012
13223,1968,1984
13253,1995,2006
13254,1995,2006
13319,1996,2007
13320,1996,2007
13322,1996,2003
13323,1996,2007
13333,1990,2004
13444,1975,1998
13451,1995,2006
13453,1980,2012
13454,1988,2012
14884,1997,2002
14885,1997,2002
14891,1997,2002
14892,1997,2002
14934,1996,2006
14946,2003,2008
14954,2001,2008
14955,2001,2007
17533,1999,2011
17534,2004,2005
17539,1986,2001
17542,2008,2014
17560,2000,2001
17561,2000,2001
17562,2000,2001
17563,2000,2001
17564,2000,2001
17565,2000,2001
17566,2000,2001
17567,2000,2001
17568,2000,2001
17576,1987,1998
17579,1987,1998
17580,1987,1998
17581,1987,1998
17582,1987,1998
17586,1987,1998
17587,1987,1998
17588,1987,1998
17590,1987,1998
17591,1987,1998
17592,2000,2001
17595,1987,1998
17596,1987,1998
17597,1987,1998
17598,1987,1998
17599,1987,1998
17600,1987,1998
17601,1987,1998
17638,2000,2003
17658,2005,2006
17659,2005,2006
17660,2005,2008
17661,2005,2008
17662,2005,2008
17666,2005,2006
17670,2003,2004
17671,2003,2004
17730,1996,2002
17748,2010,2011
17754,2006,2008
17767,1990,1998
17784,1988,1998
17823,1991,2008
17854,1971,2010
17868,2002,2003
17869,2002,2003
17870,2002,2003
17871,2002,2003
17874,2002,2003
17879,2002,2003
17884,2002,2003
17887,2002,2003
17965,1975,2007
18004,1973,2016
18238,1985,2009
18253,1991,2006
18257,1978,2013
18287,1985,1996
18477,2011,2013
18478,1986,2010
18482,2011,2012
18491,1980,1990
18527,1996,2009
18528,1996,2011
18530,1997,2011
18534,1993,1994
18593,2001,2015
18600,2003,2015
18876,1991,2013
19384,2011,2014
19508,2007,2008
19528,1980,2013
19529,1980,2013
19554,2007,2008
19555,2007,2008
19676,2009,2010
19694,2004,2010
19703,2005,2014
19708,1999,2014
19711,1999,2014
19713,1999,2014
19714,2007,2014
19772,2009,2010
19775,1993,2007
19792,1982,1983
19794,1982,1983
19797,1982,1983
19805,2006,2007
19816,1982,2015
19826,2011,2014
19827,2011,2014
