"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.02282214944252 0.95126529538619 1.08978622795089
"1972" 1.04247816194918 0.954499756710933 1.13391202478933
"1973" 1.00260474697911 0.908997194207045 1.10111931100621
"1974" 1.15092109503872 1.02930113764468 1.32699946286862
"1975" 1.03258142744476 0.86985071438269 1.22067234480899
"1976" 1.02188064328013 0.8445783740593 1.28282249551308
"1977" 1.01443506406481 0.801204920042939 1.28361269166903
"1978" 0.98015149879825 0.739801557917269 1.31898492251982
"1979" 0.912224817478498 0.67891137507716 1.25978161702326
"1980" 0.938905957692489 0.688841018490865 1.33349888434563
"1981" 0.938434323133691 0.688875648525559 1.25857242281048
"1982" 0.948226292481325 0.691581137598516 1.24982201033705
"1983" 0.934786363811227 0.663453551700536 1.25833290218097
"1984" 0.907401005832499 0.634488184292086 1.23347203945118
"1985" 0.955785018063441 0.623021474009585 1.30869026966024
"1986" 0.914977946294981 0.608152196975563 1.27159038775941
"1987" 1.004819175572 0.661288240552914 1.44480389153677
"1988" 0.911279357298631 0.595340853620333 1.34244199305297
"1989" 0.969207483554413 0.64371562241524 1.45266886627673
"1990" 0.913489955558291 0.619999265766099 1.35372542422513
"1991" 0.839334161256179 0.572274023819059 1.28084885172512
"1992" 0.820812540620471 0.539489327749435 1.23261332647329
"1993" 0.781590565769515 0.49441104580097 1.1655153772927
"1994" 0.69929186923907 0.431863529985307 1.0383980664184
"1995" 0.622521187389672 0.377948356960732 0.951762034607117
"1996" 0.575114024518659 0.345410523312082 0.885502481668824
"1997" 0.532128290191368 0.313643142125165 0.839260581611183
"1998" 0.49615484372232 0.294665368781084 0.853933439596926
"1999" 0.474454620804824 0.277378131700133 0.824592385564994
"2000" 0.447515706513299 0.268371824199665 0.759353608706681
"2001" 0.405890382979411 0.241879487712615 0.698151094679381
"2002" 0.400631664667671 0.240215319281342 0.697266498977034
"2003" 0.395057239020637 0.244981169928586 0.735654017376923
"2004" 0.397647139638107 0.242971518161113 0.75760190170788
"2005" 0.389728480020663 0.238622712320805 0.739970477326386
"2006" 0.327556106456181 0.203192138714939 0.644609397093233
"2007" 0.329525241386692 0.209541442513825 0.63418211590069
"2008" 0.290540050500608 0.176455942246889 0.559708946970486
"2009" 0.264779505437854 0.158672013063057 0.52068259550382
"2010" 0.271768147634014 0.175795485560639 0.53524929388623
"2011" 0.259063300635847 0.167797574435998 0.497660829378027
"2012" 0.245159528165671 0.154278549934664 0.473584031715552
"2013" 0.253025025113932 0.160056092310332 0.48442206740316
"2014" 0.247370254295303 0.156776682577399 0.485813942479359
"2015" 0.232082108191009 0.146658891093871 0.451464056890558
"2016" 0.213613468335216 0.133903231808922 0.421388944508077
"2017" 0.208053060689139 0.127998040672846 0.412466752733947
"2018" 0.218575831300724 0.135252020479595 0.435185771029808
