"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
712,"Odorrana_hosii","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,-0.0523138399873549,-0.0523138399873548,-0.0523138399873551,-0.0523138399873548,1.39894285816539e-16,1962,1984,22
713,"Odorrana_hosii","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,0.0448849235750223,0.0448849235750223,0.0448849235750222,0.0448849235750224,7.09982482762106e-17,1962,1984,22
714,"Odorrana_hosii","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,0,1962,1984,22
715,"Limnonectes_ibanorum","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,0.00161885604542455,0.00161885604542455,0.00161885604542444,0.00161885604542467,1.19376321329293e-16,1962,1984,22
716,"Limnonectes_ibanorum","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,0.00380325085380179,0.00380325085380173,0.00380325085380173,0.00380325085380195,1.03079572793778e-16,1962,1984,22
717,"Limnonectes_ibanorum","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,-0.0163199520368121,-0.016319952036812,-0.0163199520368122,-0.016319952036812,1.00064898216597e-16,1962,1984,22
718,"Pulchrana_signata","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,-0.00326839218290537,-0.00326839218290537,-0.00326839218290542,-0.00326839218290531,5.715659217723e-17,1962,1984,22
719,"Pulchrana_signata","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,0.0226303044890867,0.0226303044890867,0.0226303044890865,0.0226303044890868,1.54817855976119e-16,1962,1984,22
720,"Pulchrana_signata","Amphibia",1.61667,113.58333,"Indo-Malayan","Montane freshwaters","Number of individual frogs observed",14,0.013451836819478,0.013451836819478,0.0134518368194778,0.0134518368194783,1.45419405108664e-16,1962,1984,22
811,"Batagur_baska","Reptilia",21.69972,88.88306,"Indo-Malayan","Tropical and subtropical floodplain rivers and wetland complexes","Number of nests",6,1.1425909769829e-15,0.259347091227207,-1.98677173426624,1.39794000867204,1.13540800792978,1988,1994,6
820,"Alosa_pseudoharengus","Actinopteri",43.75,-77.99944,"Nearctic","Large lakes","Number of individuals (millions)",7,0.101616007967969,0.0641420612077006,-0.0352746210140675,0.303818196086416,0.136805351693622,1978,1985,7
821,"Alosa_pseudoharengus","Actinopteri",45.26667,-66.05139,"Nearctic","Temperate coastal rivers","Number of Individuals x 10^3",18,0.08363060778646,0.038140880166359,-0.17776457884228,0.588957066159038,0.231194573633963,1968,1988,20
822,"Alosa_pseudoharengus","Actinopteri",44.03,-69.31,"Nearctic","Temperate coastal rivers","SSB (Thousands of lbs)",13,-0.0408322747664476,-0.0408322747664607,-0.0408322747665906,-0.040832274766301,1.1801528918978e-13,1950,1983,33
823,"Alosa_pseudoharengus","Actinopteri",45.55,-66.52,"Nearctic","Temperate coastal rivers","SSB (Thousands)",18,0.0671045372851213,0.0160724847127762,-0.111429866567445,0.357968264903284,0.137868843455111,1968,1988,20
824,"Alosa_sapidissima","Actinopteri",41.27222,-72.33306,"Nearctic","Temperate coastal rivers","SSB (Thousands)",17,-0.0127671348999897,0.0123755681576174,-0.236179646490234,0.137336295638505,0.10753055877532,1967,1987,20
825,"Alosa_sapidissima","Actinopteri",41.27222,-72.33306,"Nearctic","Temperate coastal rivers","Number of Individuals x 10^3",17,-0.0127671348999897,0.0123755681576174,-0.236179646490234,0.137336295638505,0.10753055877532,1967,1987,20
826,"Alosa_sapidissima","Actinopteri",42.70009,-71.16693,"Nearctic","Temperate coastal rivers","Fish counts - known returns",35,0.0208137056486427,0.052186910743905,-0.581359242554396,0.425382383642252,0.2227182423777,1983,2018,35
827,"Chasmistes_liorus","Actinopteri",40.18806,-111.83556,"Nearctic","Xeric freshwaters and endorheic basins","Population estimate",4,-0.270538969353957,-0.0804256462494721,-0.871647053556452,-0.0496575313604302,0.401075169452474,1993,1997,4
832,"Coregonus_hoyi","Actinopteri",44.09389,-87.01,"Nearctic","Large lakes","Density (number/ha)",31,0.0295538936269133,0.00211581645722392,-0.260456794960843,0.395688658736403,0.176763017124865,1973,2004,31
833,"Coregonus_hoyi","Actinopteri",43.68472,-86.53028,"Nearctic","Large lakes","(SSB) Millions of eggs",10,0.109050517784587,0.151439516740615,-0.327331513226337,0.385099311272298,0.243991979665158,1974,1984,10
839,"Moxostoma_robustum","Actinopteri",32.85265,-83.02105,"Nearctic","Temperate coastal rivers","Population estimate",5,-0.0235970078183401,0.00848021747807159,-0.160734765940182,0.148741651280925,0.123879840899045,1995,2000,5
840,"Notemigonus_crysoleucas","Actinopteri",44.73333,-79.37806,"Nearctic","Large lakes","Spawning stock biomass (numbers)",7,0.038243686701862,0.144982278120282,-0.256383685250577,0.195582843575419,0.177907444947018,1980,1987,7
848,"Oncorhynchus_nerka","Actinopteri",50.54,-119.33,"Nearctic","Temperate coastal rivers","Individual fish",23,-0.00625833507808515,-0.00625833507808338,-0.0062583350782095,-0.00625833507797946,8.47258326832646e-14,1950,1993,43
849,"Oncorhynchus_nerka","Actinopteri",50,-122,"Nearctic","Temperate coastal rivers","Number of fish",23,0.0280495024210281,0.0225511641945131,0.00857827826193525,0.0567273373221182,0.017664402855691,1950,1993,43
850,"Oncorhynchus_nerka","Actinopteri",51.15694,-124.22556,"Nearctic","Temperate coastal rivers","Numbers of effective females",23,0.021428587879112,0.0223551873927335,0.00972983417401352,0.0300296213929423,0.00699415026012752,1950,1993,43
