"","sci_name","Group"
"159","Grayia tholloni","Reptile"
"160","Gyiophis vorisi","Reptile"
"161","Hardella thurjii","Reptile"
"162","Hebius bitaeniatus","Reptile"
"163","Hebius boulengeri","Reptile"
"164","Hebius celebicus","Reptile"
"165","Hebius concelarus","Reptile"
"166","Hebius craspedogaster","Reptile"
"167","Hebius deschauenseei","Reptile"
"168","Hebius flavifrons","Reptile"
"169","Hebius ishigakiensis","Reptile"
"170","Hebius johannis","Reptile"
"171","Hebius khasiensis","Reptile"
"172","Hebius octolineatus","Reptile"
"173","Hebius optatus","Reptile"
"174","Hebius petersii","Reptile"
"175","Hebius popei","Reptile"
"176","Hebius pryeri","Reptile"
"177","Hebius sauteri","Reptile"
"178","Hebius septemlineatus","Reptile"
"179","Hebius taronensis","Reptile"
"180","Hebius venningi","Reptile"
"181","Hebius vibakari","Reptile"
"182","Hebius yanbianensis","Reptile"
"183","Helicops angulatus","Reptile"
"184","Helicops apiaka","Reptile"
"185","Helicops carinicaudus","Reptile"
"186","Helicops danieli","Reptile"
"187","Helicops gomesi","Reptile"
"188","Helicops hagmanni","Reptile"
"189","Helicops leopardinus","Reptile"
"190","Helicops modestus","Reptile"
"191","Helicops pastazae","Reptile"
"192","Helicops petersi","Reptile"
"193","Helicops polylepis","Reptile"
"194","Helicops scalaris","Reptile"
"195","Helicops trivittatus","Reptile"
"196","Helicops yacu","Reptile"
"197","Helophis schoutedeni","Reptile"
"198","Hemiaspis damelii","Reptile"
"199","Heosemys annandalii","Reptile"
"200","Heosemys depressa","Reptile"
"201","Heosemys grandis","Reptile"
"202","Heosemys spinosa","Reptile"
"203","Herpetoreas xenura","Reptile"
"204","Homalophis doriae","Reptile"
"205","Homalopsis buccata","Reptile"
"206","Homalopsis nigroventralis","Reptile"
"207","Hydrablabes periops","Reptile"
"208","Hydraethiops melanogaster","Reptile"
"209","Hydrodynastes bicinctus","Reptile"
"210","Hydrodynastes gigas","Reptile"
"211","Hydrodynastes melanogigas","Reptile"
"212","Hydromorphus concolor","Reptile"
"213","Hydrophis brookii","Reptile"
"214","Hydrophis curtus","Reptile"
"215","Hydrophis elegans","Reptile"
"216","Hydrophis major","Reptile"
"217","Hydrophis obscurus","Reptile"
"218","Hydrophis schistosus","Reptile"
"219","Hydrophis semperi","Reptile"
"220","Hydrops caesurus","Reptile"
"221","Hydrops martii","Reptile"
"222","Hydrops triangularis","Reptile"
"223","Hydrosaurus pustulatus","Reptile"
"224","Hydrosaurus weberi","Reptile"
"225","Hypoptophis wilsonii","Reptile"
"226","Hypsiscopus plumbea","Reptile"
"227","Imantodes inornatus","Reptile"
"228","Insulasaurus victoria","Reptile"
"229","Ithycyphus goudoti","Reptile"
"230","Kentropyx striata","Reptile"
"231","Kentropyx viridistriga","Reptile"
"232","Kinosternon abaxillare","Reptile"
"233","Kinosternon vogti","Reptile"
"234","Lampropeltis triangulum","Reptile"
"235","Lamprophis fiskii","Reptile"
"236","Laticauda crockeri","Reptile"
"237","Lepidodactylus lugubris","Reptile"
"238","Leucocephalon yuwonoi","Reptile"
"239","Lialis jicari","Reptile"
"240","Liasis fuscus","Reptile"
"241","Limnophis bangweolicus","Reptile"
"242","Limnophis bicolor","Reptile"
"243","Liodytes alleni","Reptile"
"244","Liodytes pygaea","Reptile"
"245","Liodytes rigida","Reptile"
"246","Liopholidophis sexlineatus","Reptile"
"247","Liopholidophis varius","Reptile"
"248","Lipinia sekayuensis","Reptile"
"249","Lissemys ceylonensis","Reptile"
"250","Lissemys punctata","Reptile"
"251","Lissemys scutata","Reptile"
"252","Lissolepis coventryi","Reptile"
"253","Lubuya ivensii","Reptile"
"254","Lycodon orientalis","Reptile"
"255","Lycodonomorphus bicolor","Reptile"
"256","Lycodonomorphus laevissimus","Reptile"
"257","Lycodonomorphus leleupi","Reptile"
"258","Lycodonomorphus mlanjensis","Reptile"
"259","Lycodonomorphus rufulus","Reptile"
"260","Lycodonomorphus subtaeniatus","Reptile"
"261","Lycodonomorphus whytii","Reptile"
"262","Lygophis elegantissimus","Reptile"
"263","Lygophis vanzolinii","Reptile"
"264","Malaclemys terrapin","Reptile"
"265","Malayemys khoratensis","Reptile"
"266","Malayemys macrocephala","Reptile"
"267","Malayemys subtrijuga","Reptile"
"268","Malayopython reticulatus","Reptile"
"269","Mauremys annamensis","Reptile"
"270","Mauremys mutica","Reptile"
"271","Mauremys sinensis","Reptile"
"272","Mecistops cataphractus","Reptile"
"273","Melanochelys trijuga","Reptile"
"274","Melanosuchus niger","Reptile"
"275","Mesotes rutilus","Reptile"
"276","Micrurus nattereri","Reptile"
"277","Micrurus peruvianus","Reptile"
"278","Micrurus surinamensis","Reptile"
"279","Micrurus tricolor","Reptile"
"280","Mintonophis pakistanicus","Reptile"
"281","Morenia ocellata","Reptile"
"282","Morenia petersi","Reptile"
"283","Myron richardsonii","Reptile"
"284","Myrrophis chinensis","Reptile"
"285","Naja annulata","Reptile"
"286","Naja christyi","Reptile"
"287","Naja melanoleuca","Reptile"
"288","Naja multifasciata","Reptile"
"289","Naja nubiae","Reptile"
"290","Naja senegalensis","Reptile"
"291","Naja subfulva","Reptile"
"292","Natriciteres bipostocularis","Reptile"
"293","Natriciteres fuliginoides","Reptile"
"294","Natriciteres olivacea","Reptile"
"295","Natriciteres pembana","Reptile"
"296","Natriciteres variegata","Reptile"
"297","Natrix helvetica","Reptile"
"298","Natrix maura","Reptile"
"299","Natrix natrix","Reptile"
"300","Natrix tessellata","Reptile"
"301","Nerodia cyclopion","Reptile"
"302","Nerodia erythrogaster","Reptile"
"303","Nerodia fasciata","Reptile"
"304","Nerodia floridana","Reptile"
"305","Nerodia harteri","Reptile"
"306","Nerodia rhombifer","Reptile"
"307","Nerodia sipedon","Reptile"
"308","Nerodia taxispilota","Reptile"
"309","Neusticurus bicarinatus","Reptile"
"310","Neusticurus medemi","Reptile"
"311","Neusticurus racenisi","Reptile"
"312","Neusticurus tatei","Reptile"
"313","Nilssonia formosa","Reptile"
"314","Nilssonia gangetica","Reptile"
"315","Nilssonia hurum","Reptile"
"316","Nilssonia leithii","Reptile"
"317","Nilssonia nigricans","Reptile"
"318","Notochelys platynota","Reptile"
"319","Oligodon deuvei","Reptile"
"320","Oocatochus rufodorsatus","Reptile"
"321","Opisthotropis andersonii","Reptile"
"322","Opisthotropis cheni","Reptile"
"323","Opisthotropis daovantieni","Reptile"
"324","Opisthotropis guangxiensis","Reptile"
"325","Opisthotropis kikuzatoi","Reptile"
"326","Opisthotropis kuatunensis","Reptile"
"327","Opisthotropis lateralis","Reptile"
"328","Opisthotropis latouchii","Reptile"
"329","Opisthotropis maxwelli","Reptile"
"330","Opisthotropis rugosa","Reptile"
"331","Opisthotropis shenzhenensis","Reptile"
"332","Opisthotropis typica","Reptile"
"333","Opisthotropis zhaoermii","Reptile"
"334","Orlitia borneensis","Reptile"
"335","Osteolaemus tetraspis","Reptile"
"336","Palea steindachneri","Reptile"
"337","Paleosuchus palpebrosus","Reptile"
"338","Paleosuchus trigonatus","Reptile"
"339","Panaspis breviceps","Reptile"
"340","Pangshura smithii","Reptile"
"341","Pangshura sylhetensis","Reptile"
"342","Pangshura tecta","Reptile"
"343","Pangshura tentoria","Reptile"
"344","Paratapinophis praemaxillaris","Reptile"
"345","Parvoscincus leucospilos","Reptile"
"346","Parvoscincus manananggalae","Reptile"
"347","Parvoscincus tikbalangi","Reptile"
"348","Pelochelys bibroni","Reptile"
"349","Pelochelys cantorii","Reptile"
"350","Pelochelys signifera","Reptile"
"351","Pelomedusa galeata","Reptile"
"352","Pelusios niger","Reptile"
"353","Philodryas cordata","Reptile"
"354","Philothamnus angolensis","Reptile"
"355","Philothamnus battersbyi","Reptile"
"356","Philothamnus ornatus","Reptile"
"357","Phrynops williamsi","Reptile"
"358","Physignathus cocincinus","Reptile"
