"","sci_name","Group"
"2704","Leptopelis cynnamomeus","Amphibian"
"2705","Leptopelis flavomaculatus","Amphibian"
"2706","Leptopelis gramineus","Amphibian"
"2707","Leptopelis grandiceps","Amphibian"
"2708","Leptopelis karissimbensis","Amphibian"
"2709","Leptopelis kivuensis","Amphibian"
"2710","Leptopelis mackayi","Amphibian"
"2711","Leptopelis macrotis","Amphibian"
"2712","Leptopelis millsoni","Amphibian"
"2713","Leptopelis modestus","Amphibian"
"2714","Leptopelis mossambicus","Amphibian"
"2715","Leptopelis mtoewaate","Amphibian"
"2716","Leptopelis natalensis","Amphibian"
"2717","Leptopelis nordequatorialis","Amphibian"
"2718","Leptopelis notatus","Amphibian"
"2719","Leptopelis occidentalis","Amphibian"
"2720","Leptopelis ocellatus","Amphibian"
"2721","Leptopelis oryi","Amphibian"
"2722","Leptopelis palmatus","Amphibian"
"2723","Leptopelis parbocagii","Amphibian"
"2724","Leptopelis parkeri","Amphibian"
"2725","Leptopelis ragazzii","Amphibian"
"2726","Leptopelis rufus","Amphibian"
"2727","Leptopelis spiritusnoctis","Amphibian"
"2728","Leptopelis susanae","Amphibian"
"2729","Leptopelis uluguruensis","Amphibian"
"2730","Leptopelis vannutellii","Amphibian"
"2731","Leptopelis vermiculatus","Amphibian"
"2732","Leptopelis viridis","Amphibian"
"2733","Leptopelis xenodactylus","Amphibian"
"2734","Leptopelis yaldeni","Amphibian"
"2735","Leptopelis zebra","Amphibian"
"2736","Leptophryne borbonica","Amphibian"
"2737","Leptophryne cruentata","Amphibian"
"2738","Leptophryne javanica","Amphibian"
"2739","Limnodynastes convexiusculus","Amphibian"
"2740","Limnodynastes depressus","Amphibian"
"2741","Limnodynastes dorsalis","Amphibian"
"2742","Limnodynastes dumerilii","Amphibian"
"2743","Limnodynastes fletcheri","Amphibian"
"2744","Limnodynastes interioris","Amphibian"
"2745","Limnodynastes lignarius","Amphibian"
"2746","Limnodynastes peronii","Amphibian"
"2747","Limnodynastes salmini","Amphibian"
"2748","Limnodynastes tasmaniensis","Amphibian"
"2749","Limnodynastes terraereginae","Amphibian"
"2750","Limnomedusa macroglossa","Amphibian"
"2751","Limnonectes acanthi","Amphibian"
"2752","Limnonectes arathooni","Amphibian"
"2753","Limnonectes asperatus","Amphibian"
"2754","Limnonectes bannaensis","Amphibian"
"2755","Limnonectes blythii","Amphibian"
"2756","Limnonectes dabanus","Amphibian"
"2757","Limnonectes dammermani","Amphibian"
"2758","Limnonectes deinodon","Amphibian"
"2759","Limnonectes diuatus","Amphibian"
"2760","Limnonectes doriae","Amphibian"
"2761","Limnonectes ferneri","Amphibian"
"2762","Limnonectes finchi","Amphibian"
"2763","Limnonectes fragilis","Amphibian"
"2764","Limnonectes fujianensis","Amphibian"
"2765","Limnonectes grunniens","Amphibian"
"2766","Limnonectes gyldenstolpei","Amphibian"
"2767","Limnonectes hascheanus","Amphibian"
"2768","Limnonectes hikidai","Amphibian"
"2769","Limnonectes ibanorum","Amphibian"
"2770","Limnonectes ingeri","Amphibian"
"2771","Limnonectes isanensis","Amphibian"
"2772","Limnonectes jarujini","Amphibian"
"2773","Limnonectes kadarsani","Amphibian"
"2774","Limnonectes kenepaiensis","Amphibian"
"2775","Limnonectes khasianus","Amphibian"
"2776","Limnonectes kiziriani","Amphibian"
"2777","Limnonectes kohchangae","Amphibian"
"2778","Limnonectes kuhlii","Amphibian"
"2779","Limnonectes larvaepartus","Amphibian"
"2780","Limnonectes lauhachindai","Amphibian"
"2781","Limnonectes leporinus","Amphibian"
"2782","Limnonectes leytensis","Amphibian"
"2783","Limnonectes limborgi","Amphibian"
"2784","Limnonectes macrocephalus","Amphibian"
"2785","Limnonectes macrodon","Amphibian"
"2786","Limnonectes macrognathus","Amphibian"
"2787","Limnonectes magnus","Amphibian"
"2788","Limnonectes malesianus","Amphibian"
"2789","Limnonectes megastomias","Amphibian"
"2790","Limnonectes microdiscus","Amphibian"
"2791","Limnonectes microtympanum","Amphibian"
"2792","Limnonectes modestus","Amphibian"
"2793","Limnonectes namiyei","Amphibian"
"2794","Limnonectes nguyenorum","Amphibian"
"2795","Limnonectes nitidus","Amphibian"
"2796","Limnonectes palavanensis","Amphibian"
"2797","Limnonectes paramacrodon","Amphibian"
"2798","Limnonectes parvus","Amphibian"
"2799","Limnonectes plicatellus","Amphibian"
"2800","Limnonectes poilani","Amphibian"
"2801","Limnonectes quangninhensis","Amphibian"
"2802","Limnonectes savan","Amphibian"
"2803","Limnonectes selatan","Amphibian"
"2804","Limnonectes shompenorum","Amphibian"
"2805","Limnonectes sinuatodorsalis","Amphibian"
"2806","Limnonectes sisikdagu","Amphibian"
"2807","Limnonectes taylori","Amphibian"
"2808","Limnonectes tweediei","Amphibian"
"2809","Limnonectes utara","Amphibian"
"2810","Limnonectes visayanus","Amphibian"
"2811","Limnonectes woodworthi","Amphibian"
"2812","Lissotriton boscai","Amphibian"
"2813","Lissotriton graecus","Amphibian"
"2814","Lissotriton helveticus","Amphibian"
"2815","Lissotriton italicus","Amphibian"
"2816","Lissotriton kosswigi","Amphibian"
"2817","Lissotriton lantzi","Amphibian"
"2818","Lissotriton maltzani","Amphibian"
"2819","Lissotriton montandoni","Amphibian"
"2820","Lissotriton schmidtleri","Amphibian"
"2821","Lissotriton vulgaris","Amphibian"
"2822","Lithobates areolatus","Amphibian"
"2823","Lithobates berlandieri","Amphibian"
"2824","Lithobates blairi","Amphibian"
"2825","Lithobates brownorum","Amphibian"
"2826","Lithobates bwana","Amphibian"
"2827","Lithobates capito","Amphibian"
"2828","Lithobates chichicuahutla","Amphibian"
"2829","Lithobates chiricahuensis","Amphibian"
"2830","Lithobates dunni","Amphibian"
"2831","Lithobates forreri","Amphibian"
"2832","Lithobates johni","Amphibian"
"2833","Lithobates juliani","Amphibian"
"2834","Lithobates kauffeldi","Amphibian"
"2835","Lithobates lenca","Amphibian"
"2836","Lithobates macroglossa","Amphibian"
"2837","Lithobates maculatus","Amphibian"
"2838","Lithobates magnaocularis","Amphibian"
"2839","Lithobates megapoda","Amphibian"
"2840","Lithobates miadis","Amphibian"
"2841","Lithobates montezumae","Amphibian"
"2842","Lithobates neovolcanicus","Amphibian"
"2843","Lithobates omiltemanus","Amphibian"
"2844","Lithobates onca","Amphibian"
"2845","Lithobates palmipes","Amphibian"
"2846","Lithobates palustris","Amphibian"
"2847","Lithobates pipiens","Amphibian"
"2848","Lithobates psilonota","Amphibian"
"2849","Lithobates pustulosus","Amphibian"
"2850","Lithobates sevosus","Amphibian"
"2851","Lithobates sierramadrensis","Amphibian"
"2852","Lithobates spectabilis","Amphibian"
"2853","Lithobates sphenocephalus","Amphibian"
"2854","Lithobates sylvaticus","Amphibian"
"2855","Lithobates tarahumarae","Amphibian"
"2856","Lithobates taylori","Amphibian"
"2857","Lithobates vaillanti","Amphibian"
"2858","Lithobates vibicarius","Amphibian"
"2859","Lithobates warszewitschii","Amphibian"
"2860","Lithobates yavapaiensis","Amphibian"
"2861","Lithobates zweifeli","Amphibian"
"2862","Lithodytes lineatus","Amphibian"
"2863","Litoria adelaidensis","Amphibian"
"2864","Litoria amboinensis","Amphibian"
"2865","Litoria andiirrmalin","Amphibian"
"2866","Litoria angiana","Amphibian"
"2867","Litoria arfakiana","Amphibian"
"2868","Litoria auae","Amphibian"
"2869","Litoria aurea","Amphibian"
"2870","Litoria aurifera","Amphibian"
"2871","Litoria balatus","Amphibian"
"2872","Litoria barringtonensis","Amphibian"
"2873","Litoria becki","Amphibian"
"2874","Litoria bella","Amphibian"
"2875","Litoria bicolor","Amphibian"
"2876","Litoria booroolongensis","Amphibian"
"2877","Litoria brevipalmata","Amphibian"
"2878","Litoria brongersmai","Amphibian"
"2879","Litoria bulmeri","Amphibian"
"2880","Litoria burrowsi","Amphibian"
"2881","Litoria caerulea","Amphibian"
"2882","Litoria cavernicola","Amphibian"
"2883","Litoria chloris","Amphibian"
"2884","Litoria chloristona","Amphibian"
"2885","Litoria chloronota","Amphibian"
"2886","Litoria chrisdahli","Amphibian"
"2887","Litoria christianbergmanni","Amphibian"
"2888","Litoria citropa","Amphibian"
"2889","Litoria congenita","Amphibian"
"2890","Litoria contrastens","Amphibian"
"2891","Litoria cooloolensis","Amphibian"
"2892","Litoria coplandi","Amphibian"
"2893","Litoria cyclorhyncha","Amphibian"
"2894","Litoria dahlii","Amphibian"
"2895","Litoria darlingtoni","Amphibian"
"2896","Litoria daviesae","Amphibian"
"2897","Litoria dayi","Amphibian"
"2898","Litoria dentata","Amphibian"
"2899","Litoria dorsalis","Amphibian"
"2900","Litoria dorsivena","Amphibian"
"2901","Litoria electrica","Amphibian"
"2902","Litoria elkeae","Amphibian"
"2903","Litoria eschata","Amphibian"
"2904","Litoria eucnemis","Amphibian"
"2905","Litoria eurynastes","Amphibian"
"2906","Litoria everetti","Amphibian"
"2907","Litoria ewingii","Amphibian"
"2908","Litoria exophthalmia","Amphibian"
"2909","Litoria fallax","Amphibian"
"2910","Litoria flavescens","Amphibian"
"2911","Litoria freycineti","Amphibian"
"2912","Litoria gasconi","Amphibian"
"2913","Litoria genimaculata","Amphibian"
"2914","Litoria gilleni","Amphibian"
"2915","Litoria gracilenta","Amphibian"
"2916","Litoria havina","Amphibian"
"2917","Litoria humboldtorum","Amphibian"
"2918","Litoria hunti","Amphibian"
"2919","Litoria impura","Amphibian"
"2920","Litoria inermis","Amphibian"
"2921","Litoria infrafrenata","Amphibian"
"2922","Litoria iris","Amphibian"
"2923","Litoria jervisiensis","Amphibian"
"2924","Litoria jungguy","Amphibian"
"2925","Litoria kroombitensis","Amphibian"
"2926","Litoria kumae","Amphibian"
"2927","Litoria latopalmata","Amphibian"
"2928","Litoria lesueurii","Amphibian"
"2929","Litoria leucova","Amphibian"
"2930","Litoria littlejohni","Amphibian"
"2931","Litoria lodesdema","Amphibian"
"2932","Litoria longirostris","Amphibian"
"2933","Litoria lorica","Amphibian"
"2934","Litoria louisiadensis","Amphibian"
"2935","Litoria macki","Amphibian"
"2936","Litoria majikthise","Amphibian"
"2937","Litoria meiriana","Amphibian"
"2938","Litoria microbelos","Amphibian"
"2939","Litoria micromembrana","Amphibian"
"2940","Litoria modica","Amphibian"
"2941","Litoria moorei","Amphibian"
"2942","Litoria mucro","Amphibian"
"2943","Litoria multiplica","Amphibian"
"2944","Litoria myola","Amphibian"
"2945","Litoria nannotis","Amphibian"
"2946","Litoria napaea","Amphibian"
"2947","Litoria nasuta","Amphibian"
"2948","Litoria nigrofrenata","Amphibian"
"2949","Litoria nigropunctata","Amphibian"
"2950","Litoria nudidigita","Amphibian"
"2951","Litoria nullicedens","Amphibian"
"2952","Litoria oenicolen","Amphibian"
"2953","Litoria olongburensis","Amphibian"
"2954","Litoria pallida","Amphibian"
"2955","Litoria pallidofemora","Amphibian"
"2956","Litoria paraewingi","Amphibian"
"2957","Litoria pearsoniana","Amphibian"
"2958","Litoria peronii","Amphibian"
"2959","Litoria personata","Amphibian"
"2960","Litoria phyllochroa","Amphibian"
"2961","Litoria pronimia","Amphibian"
"2962","Litoria prora","Amphibian"
"2963","Litoria purpureolata","Amphibian"
"2964","Litoria pygmaea","Amphibian"
"2965","Litoria quiritatus","Amphibian"
"2966","Litoria raniformis","Amphibian"
"2967","Litoria revelata","Amphibian"
"2968","Litoria rheocola","Amphibian"
"2969","Litoria richardsi","Amphibian"
"2970","Litoria rivicola","Amphibian"
"2971","Litoria robinsonae","Amphibian"
"2972","Litoria rothii","Amphibian"
"2973","Litoria rubella","Amphibian"
"2974","Litoria rueppelli","Amphibian"
"2975","Litoria scabra","Amphibian"
"2976","Litoria serrata","Amphibian"
"2977","Litoria spaldingi","Amphibian"
"2978","Litoria spenceri","Amphibian"
"2979","Litoria spinifera","Amphibian"
"2980","Litoria splendida","Amphibian"
"2981","Litoria staccato","Amphibian"
"2982","Litoria subglandulosa","Amphibian"
"2983","Litoria thesaurensis","Amphibian"
"2984","Litoria timida","Amphibian"
"2985","Litoria tornieri","Amphibian"
"2986","Litoria tyleri","Amphibian"
"2987","Litoria verreauxii","Amphibian"
"2988","Litoria viranula","Amphibian"
"2989","Litoria vocivincens","Amphibian"
"2990","Litoria watjulumensis","Amphibian"
"2991","Litoria watsoni","Amphibian"
"2992","Litoria wilcoxii","Amphibian"
"2993","Litoria wollastoni","Amphibian"
"2994","Litoria xanthomera","Amphibian"
"2995","Liua shihi","Amphibian"
"2996","Liua tsinpaensis","Amphibian"
"2997","Liuixalus calcarius","Amphibian"
"2998","Liuixalus hainanus","Amphibian"
"2999","Liuixalus romeri","Amphibian"
"3000","Liurana medogensis","Amphibian"
"3001","Lysapsus bolivianus","Amphibian"
"3002","Lysapsus caraya","Amphibian"
"3003","Lysapsus laevis","Amphibian"
"3004","Lysapsus limellum","Amphibian"
"3005","Macrogenioglottus alipioi","Amphibian"
"3006","Mannophryne caquetio","Amphibian"
"3007","Mannophryne collaris","Amphibian"
"3008","Mannophryne cordilleriana","Amphibian"
"3009","Mannophryne herminae","Amphibian"
"3010","Mannophryne lamarcai","Amphibian"
"3011","Mannophryne leonardoi","Amphibian"
"3012","Mannophryne molinai","Amphibian"
"3013","Mannophryne neblina","Amphibian"
"3014","Mannophryne oblitterata","Amphibian"
"3015","Mannophryne olmonae","Amphibian"
"3016","Mannophryne orellana","Amphibian"
"3017","Mannophryne riveroi","Amphibian"
"3018","Mannophryne speeri","Amphibian"
"3019","Mannophryne trinitatis","Amphibian"
"3020","Mannophryne trujillensis","Amphibian"
"3021","Mannophryne urticans","Amphibian"
"3022","Mannophryne venezuelensis","Amphibian"
"3023","Mannophryne vulcano","Amphibian"
"3024","Mannophryne yustizi","Amphibian"
"3025","Mantella baroni","Amphibian"
"3026","Mantella bernhardi","Amphibian"
"3027","Mantella betsileo","Amphibian"
"3028","Mantella cowanii","Amphibian"
"3029","Mantella crocea","Amphibian"
"3030","Mantella ebenaui","Amphibian"
"3031","Mantella expectata","Amphibian"
"3032","Mantella haraldmeieri","Amphibian"
"3033","Mantella madagascariensis","Amphibian"
"3034","Mantella manery","Amphibian"
"3035","Mantella milotympanum","Amphibian"
"3036","Mantella nigricans","Amphibian"
"3037","Mantella pulchra","Amphibian"
"3038","Mantella viridis","Amphibian"
"3039","Mantidactylus aerumnalis","Amphibian"
"3040","Mantidactylus albofrenatus","Amphibian"
"3041","Mantidactylus alutus","Amphibian"
"3042","Mantidactylus ambreensis","Amphibian"
"3043","Mantidactylus argenteus","Amphibian"
"3044","Mantidactylus bellyi","Amphibian"
"3045","Mantidactylus betsileanus","Amphibian"
"3046","Mantidactylus biporus","Amphibian"
"3047","Mantidactylus bourgati","Amphibian"
"3048","Mantidactylus brevipalmatus","Amphibian"
"3049","Mantidactylus charlotteae","Amphibian"
"3050","Mantidactylus cowanii","Amphibian"
"3051","Mantidactylus curtus","Amphibian"
"3052","Mantidactylus delormei","Amphibian"
"3053","Mantidactylus femoralis","Amphibian"
"3054","Mantidactylus grandidieri","Amphibian"
"3055","Mantidactylus guttulatus","Amphibian"
"3056","Mantidactylus lugubris","Amphibian"
"3057","Mantidactylus madecassus","Amphibian"
"3058","Mantidactylus majori","Amphibian"
"3059","Mantidactylus melanopleura","Amphibian"
"3060","Mantidactylus mocquardi","Amphibian"
"3061","Mantidactylus opiparis","Amphibian"
"3062","Mantidactylus paidroa","Amphibian"
"3063","Mantidactylus pauliani","Amphibian"
"3064","Mantidactylus tricinctus","Amphibian"
"3065","Mantidactylus ulcerosus","Amphibian"
"3066","Mantidactylus zipperi","Amphibian"
"3067","Mantidactylus zolitschka","Amphibian"
"3068","Megaelosia goeldii","Amphibian"
"3069","Megastomatohyla mixe","Amphibian"
"3070","Megastomatohyla mixomaculata","Amphibian"
"3071","Megastomatohyla nubicola","Amphibian"
"3072","Megastomatohyla pellita","Amphibian"
"3073","Megophrys aceras","Amphibian"
"3074","Megophrys auralensis","Amphibian"
"3075","Megophrys awuh","Amphibian"
"3076","Megophrys baluensis","Amphibian"
"3077","Megophrys baolongensis","Amphibian"
"3078","Megophrys binchuanensis","Amphibian"
"3079","Megophrys binlingensis","Amphibian"
"3080","Megophrys boettgeri","Amphibian"
"3081","Megophrys brachykolos","Amphibian"
"3082","Megophrys carinense","Amphibian"
"3083","Megophrys caudoprocta","Amphibian"
"3084","Megophrys cheni","Amphibian"
"3085","Megophrys chuannanensis","Amphibian"
"3086","Megophrys damrei","Amphibian"
"3087","Megophrys daweimontis","Amphibian"
"3088","Megophrys dzukou","Amphibian"
"3089","Megophrys edwardinae","Amphibian"
"3090","Megophrys elfina","Amphibian"
"3091","Megophrys fansipanensis","Amphibian"
"3092","Megophrys feae","Amphibian"
"3093","Megophrys feii","Amphibian"
"3094","Megophrys flavipunctata","Amphibian"
"3095","Megophrys gerti","Amphibian"
"3096","Megophrys gigantica","Amphibian"
"3097","Megophrys glandulosa","Amphibian"
"3098","Megophrys hansi","Amphibian"
"3099","Megophrys himalayana","Amphibian"
"3100","Megophrys hoanglienensis","Amphibian"
"3101","Megophrys huangshanensis","Amphibian"
"3102","Megophrys insularis","Amphibian"
"3103","Megophrys intermedia","Amphibian"
"3104","Megophrys jingdongensis","Amphibian"
"3105","Megophrys jinggangensis","Amphibian"
"3106","Megophrys kobayashii","Amphibian"
"3107","Megophrys koui","Amphibian"
"3108","Megophrys kuatunensis","Amphibian"
"3109","Megophrys lekaguli","Amphibian"
"3110","Megophrys ligayae","Amphibian"
"3111","Megophrys lini","Amphibian"
"3112","Megophrys longipes","Amphibian"
"3113","Megophrys major","Amphibian"
"3114","Megophrys mangshanensis","Amphibian"
"3115","Megophrys medogensis","Amphibian"
"3116","Megophrys megacephala","Amphibian"
"3117","Megophrys microstoma","Amphibian"
"3118","Megophrys minor","Amphibian"
"3119","Megophrys montana","Amphibian"
"3120","Megophrys monticola","Amphibian"
"3121","Megophrys nankiangensis","Amphibian"
"3122","Megophrys nasuta","Amphibian"
"3123","Megophrys numhbumaeng","Amphibian"
"3124","Megophrys obesa","Amphibian"
"3125","Megophrys omeimontis","Amphibian"
"3126","Megophrys oropedion","Amphibian"
"3127","Megophrys palpebralespinosa","Amphibian"
"3128","Megophrys parallela","Amphibian"
"3129","Megophrys periosa","Amphibian"
"3130","Megophrys platyparietus","Amphibian"
"3131","Megophrys popei","Amphibian"
"3132","Megophrys robusta","Amphibian"
"3133","Megophrys rubrimera","Amphibian"
"3134","Megophrys sangzhiensis","Amphibian"
"3135","Megophrys serchhipii","Amphibian"
"3136","Megophrys shapingensis","Amphibian"
"3137","Megophrys spinata","Amphibian"
"3138","Megophrys stejnegeri","Amphibian"
"3139","Megophrys synoria","Amphibian"
"3140","Megophrys takensis","Amphibian"
"3141","Megophrys tuberogranulata","Amphibian"
"3142","Megophrys vegrandis","Amphibian"
"3143","Megophrys wuliangshanensis","Amphibian"
"3144","Megophrys wushanensis","Amphibian"
"3145","Megophrys zhangi","Amphibian"
"3146","Megophrys zunhebotoensis","Amphibian"
"3147","Melanobatrachus indicus","Amphibian"
"3148","Melanophryniscus admirabilis","Amphibian"
"3149","Melanophryniscus atroluteus","Amphibian"
"3150","Melanophryniscus biancae","Amphibian"
"3151","Melanophryniscus cupreuscapularis","Amphibian"
"3152","Melanophryniscus devincenzii","Amphibian"
"3153","Melanophryniscus dorsalis","Amphibian"
"3154","Melanophryniscus fulvoguttatus","Amphibian"
"3155","Melanophryniscus klappenbachi","Amphibian"
"3156","Melanophryniscus krauczuki","Amphibian"
"3157","Melanophryniscus langonei","Amphibian"
"3158","Melanophryniscus macrogranulosus","Amphibian"
"3159","Melanophryniscus montevidensis","Amphibian"
"3160","Melanophryniscus moreirae","Amphibian"
"3161","Melanophryniscus pachyrhynus","Amphibian"
"3162","Melanophryniscus paraguayensis","Amphibian"
"3163","Melanophryniscus rubriventris","Amphibian"
"3164","Melanophryniscus sanmartini","Amphibian"
"3165","Melanophryniscus simplex","Amphibian"
"3166","Melanophryniscus spectabilis","Amphibian"
"3167","Melanophryniscus stelzneri","Amphibian"
"3168","Melanophryniscus tumifrons","Amphibian"
"3169","Melanophryniscus vilavelhensis","Amphibian"
"3170","Mercurana myristicapalustris","Amphibian"
"3171","Meristogenys amoropalamus","Amphibian"
"3172","Meristogenys dyscritus","Amphibian"
"3173","Meristogenys jerboa","Amphibian"
"3174","Meristogenys kinabaluensis","Amphibian"
"3175","Meristogenys maryatiae","Amphibian"
"3176","Meristogenys orphnocnemis","Amphibian"
"3177","Meristogenys penrissenensis","Amphibian"
"3178","Meristogenys phaeomerus","Amphibian"
"3179","Meristogenys poecilus","Amphibian"
"3180","Meristogenys stenocephalus","Amphibian"
"3181","Meristogenys stigmachilus","Amphibian"
"3182","Meristogenys whiteheadi","Amphibian"
"3183","Mertensiella caucasica","Amphibian"
"3184","Mertensophryne lindneri","Amphibian"
"3185","Mertensophryne lonnbergi","Amphibian"
"3186","Mertensophryne loveridgei","Amphibian"
"3187","Mertensophryne melanopleura","Amphibian"
"3188","Mertensophryne nyikae","Amphibian"
"3189","Mertensophryne taitana","Amphibian"
"3190","Mertensophryne usambarae","Amphibian"
"3191","Mertensophryne uzunguensis","Amphibian"
"3192","Micrixalus adonis","Amphibian"
"3193","Micrixalus candidus","Amphibian"
"3194","Micrixalus elegans","Amphibian"
"3195","Micrixalus frigidus","Amphibian"
"3196","Micrixalus fuscus","Amphibian"
"3197","Micrixalus gadgili","Amphibian"
"3198","Micrixalus herrei","Amphibian"
"3199","Micrixalus kodayari","Amphibian"
"3200","Micrixalus kottigeharensis","Amphibian"
"3201","Micrixalus kurichiyari","Amphibian"
"3202","Micrixalus mallani","Amphibian"
"3203","Micrixalus nelliyampathi","Amphibian"
"3204","Micrixalus nigraventris","Amphibian"
"3205","Micrixalus niluvasei","Amphibian"
"3206","Micrixalus nudis","Amphibian"
"3207","Micrixalus phyllophilus","Amphibian"
"3208","Micrixalus sairandhri","Amphibian"
"3209","Micrixalus sali","Amphibian"
"3210","Micrixalus saxicola","Amphibian"
"3211","Micrixalus silvaticus","Amphibian"
"3212","Micrixalus specca","Amphibian"
"3213","Micrixalus spelunca","Amphibian"
"3214","Micrixalus thampii","Amphibian"
"3215","Micrixalus uttaraghati","Amphibian"
"3216","Microbatrachella capensis","Amphibian"
"3217","Microcaecilia nicefori","Amphibian"
"3218","Microcaecilia rochai","Amphibian"
"3219","Microhyla achatina","Amphibian"
"3220","Microhyla beilunensis","Amphibian"
"3221","Microhyla berdmorei","Amphibian"
"3222","Microhyla borneensis","Amphibian"
"3223","Microhyla butleri","Amphibian"
"3224","Microhyla chakrapanii","Amphibian"
"3225","Microhyla fissipes","Amphibian"
"3226","Microhyla karunaratnei","Amphibian"
"3227","Microhyla kuramotoi","Amphibian"
"3228","Microhyla laterite","Amphibian"
"3229","Microhyla malang","Amphibian"
"3230","Microhyla mantheyi","Amphibian"
"3231","Microhyla mihintalei","Amphibian"
"3232","Microhyla mixtura","Amphibian"
"3233","Microhyla mukhlesuri","Amphibian"
"3234","Microhyla mymensinghensis","Amphibian"
"3235","Microhyla nilphamariensis","Amphibian"
"3236","Microhyla okinavensis","Amphibian"
"3237","Microhyla ornata","Amphibian"
"3238","Microhyla palmipes","Amphibian"
"3239","Microhyla pineticola","Amphibian"
"3240","Microhyla pulchra","Amphibian"
"3241","Microhyla rubra","Amphibian"
"3242","Microhyla sholigari","Amphibian"
"3243","Microhyla superciliaris","Amphibian"
"3244","Microhyla zeylanica","Amphibian"
"3245","Microkayla huayna","Amphibian"
"3246","Micryletta erythropoda","Amphibian"
"3247","Micryletta inornata","Amphibian"
"3248","Micryletta lineata","Amphibian"
"3249","Micryletta nigromaculata","Amphibian"
"3250","Micryletta steinegeri","Amphibian"
"3251","Minervarya agricola","Amphibian"
"3252","Minervarya andamanensis","Amphibian"
"3253","Minervarya asmati","Amphibian"
"3254","Minervarya cepfi","Amphibian"
"3255","Minervarya chiangmaiensis","Amphibian"
"3256","Minervarya chilapata","Amphibian"
"3257","Minervarya goemchi","Amphibian"
"3258","Minervarya gomantaki","Amphibian"
"3259","Minervarya greenii","Amphibian"
"3260","Minervarya kalinga","Amphibian"
"3261","Minervarya keralensis","Amphibian"
"3262","Minervarya kirtisinghei","Amphibian"
"3263","Minervarya manoharani","Amphibian"
"3264","Minervarya muangkanensis","Amphibian"
"3265","Minervarya mysorensis","Amphibian"
"3266","Minervarya nepalensis","Amphibian"
"3267","Minervarya nicobariensis","Amphibian"
"3268","Minervarya nilagirica","Amphibian"
"3269","Minervarya pentali","Amphibian"
"3270","Minervarya pierrei","Amphibian"
"3271","Minervarya rufescens","Amphibian"
"3272","Minervarya sahyadris","Amphibian"
"3273","Minervarya sengupti","Amphibian"
"3274","Minervarya syhadrensis","Amphibian"
"3275","Minervarya teraiensis","Amphibian"
"3276","Mixophyes balbus","Amphibian"
"3277","Mixophyes carbinensis","Amphibian"
"3278","Mixophyes coggeri","Amphibian"
"3279","Mixophyes fasciolatus","Amphibian"
"3280","Mixophyes fleayi","Amphibian"
"3281","Mixophyes iteratus","Amphibian"
"3282","Mixophyes schevilli","Amphibian"
"3283","Morerella cyanophthalma","Amphibian"
"3284","Myersiohyla liliae","Amphibian"
"3285","Mysticellus franki","Amphibian"
"3286","Nannophryne apolobambica","Amphibian"
"3287","Nannophryne corynetes","Amphibian"
"3288","Nannophryne variegata","Amphibian"
"3289","Nannophrys ceylonensis","Amphibian"
"3290","Nannophrys marmorata","Amphibian"
"3291","Nannophrys naeyakai","Amphibian"
"3292","Nanohyla annamensis","Amphibian"
"3293","Nanohyla annectens","Amphibian"
"3294","Nanohyla marmorata","Amphibian"
"3295","Nanohyla perparva","Amphibian"
"3296","Nanohyla petrigena","Amphibian"
"3297","Nanohyla pulchella","Amphibian"
"3298","Nanorana aenea","Amphibian"
"3299","Nanorana annandalii","Amphibian"
"3300","Nanorana arunachalensis","Amphibian"
"3301","Nanorana blanfordii","Amphibian"
"3302","Nanorana chayuensis","Amphibian"
"3303","Nanorana ercepeae","Amphibian"
"3304","Nanorana gammii","Amphibian"
"3305","Nanorana kangxianensis","Amphibian"
"3306","Nanorana liebigii","Amphibian"
"3307","Nanorana maculosa","Amphibian"
"3308","Nanorana medogensis","Amphibian"
"3309","Nanorana minica","Amphibian"
"3310","Nanorana parkeri","Amphibian"
"3311","Nanorana pleskei","Amphibian"
"3312","Nanorana polunini","Amphibian"
"3313","Nanorana quadranus","Amphibian"
"3314","Nanorana rostandi","Amphibian"
"3315","Nanorana sichuanensis","Amphibian"
"3316","Nanorana taihangnica","Amphibian"
"3317","Nanorana unculuanus","Amphibian"
"3318","Nanorana ventripunctata","Amphibian"
"3319","Nanorana vicina","Amphibian"
"3320","Nanorana yunnanensis","Amphibian"
"3321","Nasikabatrachus bhupathi","Amphibian"
"3322","Nasikabatrachus sahyadrensis","Amphibian"
"3323","Natalobatrachus bonebergi","Amphibian"
"3324","Nectocaecilia petersii","Amphibian"
"3325","Necturus alabamensis","Amphibian"
"3326","Necturus beyeri","Amphibian"
"3327","Necturus lewisi","Amphibian"
"3328","Necturus louisianensis","Amphibian"
"3329","Necturus maculosus","Amphibian"
"3330","Necturus moleri","Amphibian"
"3331","Necturus mounti","Amphibian"
"3332","Necturus punctatus","Amphibian"
"3333","Neobatrachus albipes","Amphibian"
"3334","Neobatrachus aquilonius","Amphibian"
"3335","Neobatrachus fulvus","Amphibian"
"3336","Neobatrachus kunapalari","Amphibian"
"3337","Neobatrachus pelobatoides","Amphibian"
"3338","Neobatrachus pictus","Amphibian"
"3339","Neobatrachus sudelli","Amphibian"
"3340","Neobatrachus sutor","Amphibian"
"3341","Neobatrachus wilsmorei","Amphibian"
"3342","Nesorohyla kanaima","Amphibian"
"3343","Neurergus barani","Amphibian"
"3344","Neurergus crocatus","Amphibian"
